tokens,value
ethereum, 0.856336536706772
BNB, 0.4359691096677512
solana, 0.2839508063603742
XRP, 0.5922150179456616
dogecoin, 0.5562398647343241
cardano, 0.7143257289365506
polkadot, 0.7869925235064793
chainlink, 0.638851717829113
litecoin, 0.771542627145857
uniswap, 0.6104809008903774
filecoin, 0.500538578409132
fetch.ai, 0.2580334628232321
monero, 0.8617217312682499
singularitynet, 0.2679116620692193
tezos, 0.49149132617827324
kucoin, 0.49801058779817015
pancakeswap, 0.5170642388311437
oasis network, 0.27119066629589345
ocean protocol, 0.5397304826236528

