Week,bitcoin: (Worldwide)
2019-04-30,11.75
2019-05-31,18.25
2019-06-30,20.4
2019-07-31,18.0
2019-08-31,16.0
2019-09-30,12.6
2019-10-31,12.25
2019-11-30,11.75
2019-12-31,11.0
2020-01-31,12.75
2020-02-29,14.0
2020-03-31,19.2
2020-04-30,16.5
2020-05-31,19.4
2020-06-30,13.25
2020-07-31,15.0
2020-08-31,16.6
2020-09-30,12.25
2020-10-31,14.25
2020-11-30,24.4
2020-12-31,35.25
2021-01-31,62.0
2021-02-28,71.25
2021-03-31,48.5
2021-04-30,52.5
2021-05-31,63.6
2021-06-30,44.25
2021-07-31,32.25
2021-08-31,31.8
2021-09-30,31.25
2021-10-31,36.4
2021-11-30,35.75
2021-12-31,33.5
2022-01-31,41.8
2022-02-28,36.5
2022-03-31,29.0
2022-04-30,24.0
2022-05-31,34.4
2022-06-30,43.5
2022-07-31,28.8
2022-08-31,22.25
2022-09-30,21.75
2022-10-31,17.8
2022-11-30,26.75
2022-12-31,18.25
2023-01-31,21.0
2023-02-28,18.5
2023-03-31,23.75
2023-04-30,21.6
2023-05-31,17.0
2023-06-30,19.75
2023-07-31,18.4
2023-08-31,18.25
2023-09-30,16.0
2023-10-31,19.2
2023-11-30,21.0
2023-12-31,25.8
2024-01-31,27.0
2024-02-29,28.25
2024-03-31,40.0
2024-04-30,30.0
