Token,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10
BTC,0.6420851804745322,0.6545736685899567,0.6866966397750782,0.6280357989712615,0.7010188485739806,0.7248369234666211,0.5713702012142651,0.5237912548799034,0.6537480226221865,0.8020852927938392
ETH,0.6626083429238322,0.6479005168849673,0.6682364231413442,0.6425076731662465,0.6739338623462281,0.7374717116651427,0.5683852540846592,0.6876312207351821,0.6367380988334032,0.6839887930882856
BNB,0.49345733086494903,0.47757502723644857,0.48593367288012546,0.4893500882711412,0.4836708869554567,0.526578713800898,0.5103387074546972,0.5034620501125373,0.5132628551774588,0.4408050656779239
ADA,0.835321896604201,0.8167894636605527,0.7836405124441599,0.8297090105832493,0.8589608569694515,0.7907987078955986,0.6777621697877917,0.8745448563923857,0.6812698682113135,0.796576763590682
LINK,0.6654660326499114,0.6871329342459391,0.6385304408318053,0.6254674559315355,0.6116239960459205,0.4994600711855008,0.6599165855097601,0.5528445453287518,0.48817033518490327,0.5465015309280112
DOGE,0.5115877565188409,0.4897619653369227,0.5637372872093922,0.4870024457120102,0.5391362848334313,0.28029534150113206,0.3428845192148418,0.33616757430900746,0.3848410314411644,0.23585536941283342
FET,0.7317973445906789,0.768884915585139,0.7722179945254087,0.8136682078662794,0.633173083267499,0.90969529155097,0.6590454842326201,0.7954409682364094,0.6801748898308787,0.7550197403271994
FIL,0.6200041828762171,0.6808598567840655,0.4666944192343866,0.6299066518634492,0.5428363639286354,0.6272011694327901,0.5325712873944071,0.7355515044644704,0.29563217545290954,0.48058051670526886
KCS,0.8706180701272276,0.8499902385892952,0.8563112649829656,0.8487039479146457,0.8891593868544483,0.8985236538722308,0.8017923321826351,0.7576294304627111,0.7842705028477261,0.8008117118029039
LTC,0.760771284625425,0.7209263379137035,0.7312925466217718,0.6722672614448825,0.6886394701155532,0.7378632914373863,0.5949371277937301,0.4617296621654161,0.5505088395521591,0.6042804223592666
XMR,0.7151118703150946,0.6953744208937074,0.7248147445000911,0.6950620909123814,0.5666775176576981,0.7020436867027203,0.7006938766996178,0.7260261222223785,0.6530474727688772,0.5162690842097378
ROSE,0.759434097941634,0.775964317570317,0.8112240605293931,0.6872230071314667,0.8192592600336156,0.8580429708559304,0.826361240124276,0.7860939211914322,0.8236210549652111,0.8073931742955168
OCEAN,0.7397275179805358,0.7290298054438066,0.683704127688959,0.7373216565227836,0.6765634671706835,0.5820895685589218,0.6520500072798762,0.7055029057066655,0.6451493852554135,0.734374112813771
CAKE,0.833147862320833,0.8260565770284984,0.8264604377217322,0.8124988202270407,0.8193634837541415,0.8574723171238987,0.7297254650860766,0.8731689471927349,0.9071609066636941,0.8489262157492959
DOT,0.7979210462605038,0.786676210305579,0.7518436430332547,0.7325534328869472,0.5940701819818397,0.6982663044199935,0.6663820231608959,0.6548861561000595,0.7930563177845396,0.5901985287897175
AGIX,0.6203566053513899,0.6876072276908392,0.5916544405375024,0.5527112240114037,0.6683701341217538,0.49836836389994454,0.6250572146736149,0.5842325418962241,0.4314451341938688,0.5276386834685238
SOL,0.8225340185660253,0.8163603630975631,0.7841806474950542,0.7579867209664184,0.8291218018855043,0.705115725594733,0.8642210379507931,0.6791479339617629,0.8011910472362229,0.882384308921855
XTZ,0.7716160343668845,0.8105841781727474,0.7443757335751041,0.8059691073613215,0.7039288402690137,0.7358185440310924,0.8200722429448718,0.7408463613427742,0.5287528656875354,0.6175206026222106
UNI,0.7951977951402737,0.8134895924368699,0.7683071538553125,0.7610857141984797,0.7884462220827271,0.7605433716196097,0.8002693890282596,0.7827089678063293,0.6365120938665302,0.6523697633132415
XRP,0.5524712248540113,0.476056929112479,0.4623600746036266,0.4251407576695438,0.4429401768622824,0.32757813746406944,0.34401665172585827,0.2748355385041661,0.35417204482702497,0.3425651460709453
