,bitcoin,ethereum,BNB,solana,XRP,dogecoin,cardano,polkadot,chainlink,litecoin,uniswap,filecoin,fetch.ai,monero,singularitynet,tezos,kucoin,pancakeswap,oasis network,ocean protocol
bitcoin,1.0,0.856336536706772,0.4359691096677512,0.2839508063603742,0.5922150179456616,0.5562398647343241,0.7143257289365506,0.7869925235064793,0.638851717829113,0.771542627145857,0.6104809008903774,0.500538578409132,0.2580334628232321,0.8617217312682499,0.2679116620692193,0.49149132617827324,0.49801058779817015,0.5170642388311437,0.27119066629589345,0.5397304826236528
ethereum,0.8563365367067721,1.0,0.5819403467180733,0.35367092796558774,0.5963883528767373,0.7139514989531129,0.8515776927006912,0.8426558873875256,0.6326629095110026,0.727261032450659,0.7979779845730679,0.5488703852123002,0.2964594191117143,0.8621309132612747,0.2560448968205238,0.5921617355488416,0.6854417267252785,0.761355087508894,0.3711885657054185,0.5350690454621244
BNB,0.4359691096677512,0.5819403467180733,1.0,0.3145923840935343,0.30650122946061176,0.462802981602319,0.5899126734319273,0.49461010996610894,0.3441348840656365,0.4402664265107683,0.5011828697876504,0.3370264640058227,0.2613633350677096,0.5536268901419145,0.15673847525379606,0.4574232319070678,0.5295190656846269,0.671921846821723,0.4022715662571565,0.2781837750703717
solana,0.2839508063603742,0.35367092796558774,0.3145923840935343,1.0,0.1490572922278918,0.008601712839961495,0.3651404148797996,0.3998700023714528,0.06806278011451533,-0.0759481555210919,0.4048650324296434,0.25566920980566704,0.6841344303515126,0.22279158134075425,0.30496078883207395,0.22122884788941855,0.721994449127436,0.4698560472050111,0.5959839929956795,0.33454867628016094
XRP,0.5922150179456616,0.5963883528767374,0.30650122946061176,0.1490572922278918,1.0,0.6433317680159999,0.5461901145661657,0.5909813954841773,0.556281635200463,0.6464961822650318,0.5632421800617323,0.47476174508424035,0.22748084079927902,0.6221005526711693,0.3075366942971923,0.3204305625024424,0.3632109548535742,0.4113636115993008,0.06081210546168252,0.45211324461739516
dogecoin,0.5562398647343241,0.7139514989531128,0.4628029816023189,0.008601712839961494,0.6433317680159998,1.0,0.6200192956696701,0.5394487447307573,0.5848023778070678,0.7153624340790607,0.6727554930448754,0.41464339620492285,0.07071353466228382,0.6978667578514535,0.21327840423918318,0.3949817179124656,0.3603518556989553,0.5640405482765287,0.028915508905689297,0.3814227937087912
cardano,0.7143257289365506,0.8515776927006912,0.5899126734319273,0.3651404148797996,0.5461901145661657,0.6200192956696701,1.0,0.7749789289589023,0.5449973327340634,0.6473846818553538,0.7529347307729003,0.5457122432541646,0.36815463827114814,0.7624880814122319,0.28693051709119627,0.605319064357091,0.6309056824973209,0.7379747128920171,0.3171420393927855,0.542217400640659
polkadot,0.7869925235064794,0.8426558873875256,0.494610109966109,0.3998700023714528,0.5909813954841773,0.5394487447307573,0.7749789289589023,1.0,0.6477209762761802,0.6978592547339121,0.7867850356861438,0.5683564504263525,0.3667395664565402,0.8057068743609858,0.28500276367212657,0.5720621709205648,0.6980106182979889,0.703798741202021,0.3908947862828872,0.6615406561350616
chainlink,0.638851717829113,0.6326629095110025,0.3441348840656365,0.06806278011451533,0.5562816352004629,0.5848023778070678,0.5449973327340635,0.6477209762761801,1.0,0.7114164150935146,0.5799370036959681,0.4109427512649641,0.14098533142779723,0.6703388202389254,0.22945316688957512,0.522665917374273,0.2860911360661423,0.3695643018074851,0.09384902436163058,0.6045855487500783
litecoin,0.771542627145857,0.727261032450659,0.44026642651076825,-0.0759481555210919,0.6464961822650318,0.7153624340790609,0.6473846818553538,0.6978592547339121,0.7114164150935146,1.0,0.5600228225154936,0.42659806294549063,0.016608147524986752,0.819608616169406,0.14815750860421045,0.5152258733476259,0.2598956158969168,0.44406809143044873,0.01593382543360915,0.47358948379722127
uniswap,0.6104809008903774,0.797977984573068,0.5011828697876504,0.40486503242964333,0.5632421800617323,0.6727554930448754,0.7529347307729003,0.7867850356861438,0.5799370036959681,0.5600228225154936,1.0,0.6045106114405483,0.434245203036859,0.6921691615563379,0.36429345594091067,0.44315656471298154,0.7504511478016793,0.8127417398717269,0.30203042934733837,0.6217637118190931
filecoin,0.500538578409132,0.5488703852123002,0.3370264640058227,0.25566920980566704,0.47476174508424035,0.4146433962049228,0.5457122432541646,0.5683564504263525,0.41094275126496405,0.42659806294549063,0.6045106114405484,1.0,0.3176903472013147,0.5883697630054352,0.3691610985764587,0.3447023127194098,0.49382640159528524,0.4602716601463174,0.2493990301248011,0.5003118349736874
fetch.ai,0.2580334628232321,0.2964594191117143,0.26136333506770965,0.6841344303515126,0.227480840799279,0.0707135346622838,0.3681546382711482,0.36673956645654027,0.14098533142779723,0.016608147524986752,0.434245203036859,0.3176903472013147,1.0,0.17235544401016287,0.7062012567657835,0.14233321435205723,0.5360849395190436,0.35305524292538576,0.3585956654055453,0.5603041235354648
monero,0.86172173126825,0.8621309132612747,0.5536268901419146,0.22279158134075422,0.6221005526711694,0.6978667578514534,0.7624880814122319,0.8057068743609856,0.6703388202389255,0.819608616169406,0.6921691615563378,0.5883697630054352,0.17235544401016287,1.0,0.22458247374198412,0.5856780341868029,0.5492351764966342,0.6439951054825171,0.32288607082649123,0.5469483377258584
singularitynet,0.2679116620692193,0.2560448968205238,0.15673847525379606,0.30496078883207395,0.30753669429719227,0.2132784042391832,0.28693051709119627,0.28500276367212657,0.22945316688957512,0.14815750860421045,0.3642934559409107,0.3691610985764587,0.7062012567657835,0.22458247374198415,1.0,0.028951241714148285,0.2832736133661753,0.15476318269326392,0.08563195706579321,0.5755527552729475
tezos,0.49149132617827324,0.5921617355488416,0.4574232319070678,0.22122884788941857,0.32043056250244234,0.3949817179124656,0.6053190643570909,0.5720621709205648,0.522665917374273,0.515225873347626,0.4431565647129816,0.3447023127194098,0.1423332143520572,0.5856780341868029,0.02895124171414828,1.0,0.42890223567818386,0.5469408690930659,0.34910358502676964,0.33227759436378845
kucoin,0.49801058779817015,0.6854417267252785,0.5295190656846269,0.721994449127436,0.36321095485357424,0.3603518556989553,0.6309056824973208,0.6980106182979889,0.2860911360661422,0.2598956158969168,0.7504511478016794,0.49382640159528524,0.5360849395190437,0.5492351764966341,0.28327361336617524,0.42890223567818386,1.0,0.8330232151461323,0.6490894191929678,0.5298476578579124
pancakeswap,0.5170642388311436,0.7613550875088939,0.6719218468217231,0.4698560472050111,0.41136361159930074,0.5640405482765287,0.7379747128920171,0.703798741202021,0.3695643018074851,0.44406809143044873,0.8127417398717268,0.4602716601463174,0.35305524292538576,0.6439951054825171,0.15476318269326395,0.5469408690930659,0.8330232151461323,1.0,0.529020807123951,0.4286557136156968
oasis network,0.27119066629589345,0.3711885657054186,0.40227156625715654,0.5959839929956795,0.06081210546168252,0.028915508905689297,0.31714203939278557,0.39089478628288726,0.09384902436163058,0.015933825433609147,0.3020304293473384,0.24939903012480108,0.3585956654055454,0.3228860708264912,0.08563195706579321,0.34910358502676964,0.6490894191929678,0.5290208071239512,1.0,0.32055285529167904
ocean protocol,0.5397304826236528,0.5350690454621244,0.2781837750703717,0.33454867628016094,0.45211324461739516,0.3814227937087911,0.542217400640659,0.6615406561350616,0.6045855487500784,0.4735894837972213,0.621763711819093,0.5003118349736874,0.5603041235354648,0.5469483377258584,0.5755527552729475,0.33227759436378845,0.5298476578579124,0.4286557136156968,0.32055285529167904,1.0
